DUNKIN DONUTS,14271 PACIFIC ST,EXCELLENT,12/19/2018,MEDIUM
EAT THE WORM,1213 HOWARD ST,EXCELLENT,12/27/2018,HIGH
EVEN HOTELS OMAHA DOWNTOWN,2220 Farnam ST,EXCELLENT,12/4/2018,MEDIUM
FAIRFIELD INN & SUITES WEST OMAHA,17240 WRIGHT ST,EXCELLENT,1/4/2019,MEDIUM
Fajitas Bar & Grill,6222 N 72nd St,EXCELLENT,1/2/2019,HIGH
FAMILY FARE,5025 GROVER ST,EXCELLENT,12/28/2018,HIGH
FEDERAL RESERVE BANK,2201 FARNAM,EXCELLENT,1/4/2019,HIGH
Film Streams Dundee Theatre,4952 Dodge St,EXCELLENT,1/17/2019,MEDIUM
FIREHOUSE SUBS,721 S 72 ST STES 106-107,EXCELLENT,1/7/2019,MEDIUM
First Watch,2855 S 168 ST,EXCELLENT,12/3/2018,HIGH
FN TOWER GRAB & GO,1601 Dodge ST,EXCELLENT,1/23/2019,MEDIUM
Fraternal Order Eagles #38,201 S 24 ST,EXCELLENT,11/13/2018,HIGH
Freddy's Frozen Custard & Steakburgers,5210 S 136 ST,EXCELLENT,1/25/2019,HIGH
Fresh Thyme Farmers Market,14949 Evans PLZ,EXCELLENT,1/4/2019,HIGH
FRIENDSHIP PROGRAM INC,7315 MAPLE ST,EXCELLENT,12/4/2018,MEDIUM
GIRLS INC OF OMAHA,2811 N 45 ST,EXCELLENT,12/10/2018,MEDIUM
GORAT'S STEAK HOUSE,4917 CENTER ST,EXCELLENT,12/17/2018,HIGH
GRANT STREET BAR & GRILL,8919 Grant ST,EXCELLENT,1/14/2019,HIGH
Great Harvest Bread Company,15623 W Dodge RD,EXCELLENT,1/15/2019,MEDIUM
GREEN BEANS COFFEE,6831 S 167 ST,EXCELLENT,1/9/2019,MEDIUM
GROVER ICE,6171 GROVER ST,EXCELLENT,12/10/2018,MEDIUM
Heartland Intergenerational Center,4318 Fort ST,EXCELLENT,1/11/2019,MEDIUM
High Peak Asian Restaurant,333 N 78th St,EXCELLENT,11/26/2018,HIGH
Hissho Sushi,505 N 155th Plaza,EXCELLENT,12/5/2018,MEDIUM
Holiday Inn Express,11818 Miami St,EXCELLENT,12/20/2018,MEDIUM
Holiday Inn Express & Suites Ralston,7306 Q ST,EXCELLENT,12/27/2018,MEDIUM
HOME FOODS,7515 PACIFIC ST,EXCELLENT,11/19/2018,MEDIUM
HUB FIREBOX CATERING,15791 W DODGE RD STE 130-131,EXCELLENT,1/15/2019,MEDIUM
Hy-Vee #11,1000 S 178th ST,EXCELLENT,1/24/2019,HIGH
Hy-Vee Gas #6,9601 Q ST,EXCELLENT,12/14/2018,MEDIUM
IHOP #5338,4707 N 72 ST,EXCELLENT,11/27/2018,HIGH
Jim & Jenny's Greek Village,3026 N 90th,EXCELLENT,11/27/2018,HIGH
Jimmy John's,8406 Park DR,EXCELLENT,12/17/2018,MEDIUM
Jimmy John's,9909 Reddick CIR,EXCELLENT,1/3/2019,MEDIUM
Juniors Forgot Store Bar and Grill,11909 Calhoun Rd,EXCELLENT,1/2/2019,MEDIUM
Karen Grocery LLC,6115 AMES AVE,EXCELLENT,12/11/2018,MEDIUM
Kikka Sushi @ Whole Foods Regency,10020 Regency CIR,EXCELLENT,12/21/2018,HIGH
Kitchen Table Central,4952 Dodge St,EXCELLENT,1/17/2019,HIGH
Kolache Factory,4105 S 84th St,EXCELLENT,1/3/2019,HIGH
Kona Grill,295 N 170th ST,EXCELLENT,12/14/2018,HIGH
Kracky McGee's Woodmen Tower,1700 Farnam ST,EXCELLENT,12/13/2018,HIGH
La Mesa,15825 W Maple RD,EXCELLENT,12/11/2018,HIGH
LE PEEP RESTAURANT,17660 WRIGHT ST #20,EXCELLENT,11/13/2018,HIGH
LE VOLTAIRE INC,569 N 155 PLAZA,EXCELLENT,11/15/2018,HIGH
Life Time Fitness,17007 Elm Plaza,EXCELLENT,12/27/2018,HIGH
Life's Sweeter Side,5801 Oak Hills Dr,EXCELLENT,11/29/2018,MEDIUM
Little Caesar's Pizza,15619 W Dodge RD,EXCELLENT,1/15/2019,MEDIUM
LOCAL BEER PATIO & KITCHEN,4909 S 135th ST STE 101,EXCELLENT,1/14/2019,HIGH
Long John Silver's,5023 S 108th ST,EXCELLENT,12/11/2018,MEDIUM
LongHorn Steakhouse #5422,7425 Dodge St Ste 103,EXCELLENT,12/12/2018,HIGH
Lutfi's Fried Fish,2822 N 88th St,EXCELLENT,12/19/2018,HIGH
Madonna Rehabilitation Hospital Omaha,17500 Burke ST,EXCELLENT,1/18/2019,HIGH
MANTRA BAR & GRILLE,6913 MAPLE ST,EXCELLENT,11/29/2018,HIGH
MAPLEWOOD LANES,3030 N 101 ST,EXCELLENT,1/9/2019,HIGH
McDonald's,9009 Old Military RD,EXCELLENT,1/23/2019,MEDIUM
McDonald's #38180,1925 N 72nd St,EXCELLENT,11/13/2018,MEDIUM
MENARDS,7337 L ST,EXCELLENT,12/31/2018,LOW
Mitch's Pub,5106 N 156th,EXCELLENT,12/13/2018,LOW
Mogshaze,2101 Woolworth AVE,EXCELLENT,12/5/2018,HIGH
Mula,3932 Farnam ST,EXCELLENT,1/3/2019,HIGH
Mutual of Omaha,3301 DODGE ST PLAZA,EXCELLENT,12/11/2018,HIGH
My Pie Pizza,2085 N 120th ST STE D6,EXCELLENT,12/13/2018,MEDIUM
Nebraska Methodist Hospital,8303 Dodge,EXCELLENT,12/11/2018,HIGH
New Vision Omaha,1425 N 18th ST,EXCELLENT,11/30/2018,MEDIUM
NORTHWEST SR HIGH,8204 CROWN POINT AVE,EXCELLENT,12/11/2018,HIGH
Nuestra Familia Supermercado,3548 Q ST,EXCELLENT,1/22/2019,HIGH
Old Chicago,13110 Birch Dr #180,EXCELLENT,11/26/2018,HIGH
Olive Garden Italian Restaurant,7505 Dodge ST,EXCELLENT,12/12/2018,HIGH
Olsen Bake Shop,1708 S 10th,EXCELLENT,12/4/2018,MEDIUM
Omaha Cake Design,8406 Q St,EXCELLENT,1/8/2019,MEDIUM
Omaha Gun Club,2828 S. 82nd Ave,EXCELLENT,1/7/2019,MEDIUM
Omaha Oriental Food & Gifts,10737 Mockingbird DR,EXCELLENT,1/15/2019,MEDIUM
OMAHA TOWER CAFÃ‰ (THE),2120 S 72 ST,EXCELLENT,11/20/2018,HIGH
OMCW LLC dba:Candlewood Suites,13003 I Street,EXCELLENT,12/3/2018,LOW
OPEN DOOR MISSION,2828 N 23 ST,EXCELLENT,11/16/2018,HIGH
ORSI'S ITALIAN BAKERY,621 PACIFIC ST,EXCELLENT,1/11/2019,HIGH
O'Tillie Pork & Pantry,8501 N 30th St,EXCELLENT,1/7/2019,MEDIUM
OUTBACK STEAKHOUSE,2414 S 132 ST,EXCELLENT,1/3/2019,HIGH
Panda Express #1803,17627 GOLD PLZ,EXCELLENT,1/10/2019,MEDIUM
PANDA HOUSE,301 S 16 ST,EXCELLENT,1/11/2019,HIGH
Panera Bread #1204,13410 W MAPLE RD,EXCELLENT,11/26/2018,MEDIUM
Perkins Restaurant & Bakery,2545 Abbott Plz,EXCELLENT,1/8/2019,HIGH
PF Chang's China Bistro,10150 CALIFORNIA ST,EXCELLENT,12/27/2018,HIGH
Popeye's Chicken & Biscuits,6102 Ames Ave,EXCELLENT,11/14/2018,MEDIUM
Prairie Life Center,2275 S 132nd,EXCELLENT,1/7/2019,HIGH
Qdoba,1110 S 71st St Ste D,EXCELLENT,1/14/2019,MEDIUM
Quik Trip #588,4212 S 84th ST,EXCELLENT,11/15/2018,MEDIUM
Quik Trip #597,8727 Maple ST,EXCELLENT,12/26/2018,MEDIUM
Quik Trip Corporation,13007 Q ST,EXCELLENT,11/15/2018,MEDIUM
R & L Meat Processing,15309 Harvest LN,EXCELLENT,12/6/2018,MEDIUM
Raising Canes Chicken Fingers,10000 California ST STE 3148,EXCELLENT,12/7/2018,MEDIUM
Razzy's Deli,2615 N 90th,EXCELLENT,1/9/2019,HIGH
RED LOBSTER #0115,330 S 72 ST,EXCELLENT,12/12/2018,HIGH
RED MANGO,10349 PACIFIC ST,EXCELLENT,12/19/2018,MEDIUM
REGIS FOOD MART,7202 F ST,EXCELLENT,12/10/2018,MEDIUM
REGIS FOOD MART #3,2810 S 108 ST,EXCELLENT,11/14/2018,LOW
RELAX INN MOTEL SUITES,4578 S 60 ST,EXCELLENT,12/20/2018,MEDIUM
ROMEO'S MEX FOOD & PIZZA,9555 L ST,EXCELLENT,12/13/2018,HIGH
ROMEO'S WEST,14630 W CENTER RD,EXCELLENT,1/25/2019,HIGH
Runza,10769 Q ST,EXCELLENT,12/21/2018,MEDIUM
Runza,13236 Arbor Plz,EXCELLENT,12/20/2018,HIGH
Runza,2952 Farnam,EXCELLENT,1/11/2019,HIGH
Runza,13435 Q ST,EXCELLENT,11/29/2018,MEDIUM
RUSSELL STOVER CANDIES,721 S 72 ST,EXCELLENT,1/7/2019,MEDIUM
Salsarita's Omaha 72nd,510 S 72nd St,EXCELLENT,1/7/2019,MEDIUM
SALVATION ARMY ADULT REHAB CENTER,2551 DODGE ST,EXCELLENT,11/26/2018,HIGH
Salween Thai,7425 Pacific St,EXCELLENT,1/9/2019,HIGH
Sand Bar,3809 N 90th,EXCELLENT,12/18/2018,HIGH
Scooter's,17151 Davenport St #107,EXCELLENT,1/16/2019,MEDIUM
Scooter's Coffee,5502 S 84th ST,EXCELLENT,12/12/2018,MEDIUM
Scooters Coffee House,5405 S 72nd ST,EXCELLENT,11/21/2018,MEDIUM
SECONDARY SUCCESS PROGRAM,3030 SPAULDING ST,EXCELLENT,1/10/2019,HIGH
SHADOW RIDGE COUNTRY CLUB,1501 S 188 PLZ,EXCELLENT,12/18/2018,HIGH
Simply Delicious Restaurant,215 N Spruce ST,EXCELLENT,12/27/2018,HIGH
Snowland, 3001 S 144th St  Ste 2029 ,EXCELLENT,1/9/2019,MEDIUM
Starbucks Coffee #48930,815 N 204th Ave,EXCELLENT,1/9/2019,MEDIUM
Steak & Grapes,16920 Wright Plaza #118,EXCELLENT,1/17/2019,HIGH
Stokin' Goat, 15805 W Maple Rd  Ste #101 ,EXCELLENT,11/19/2018,HIGH
Subway,12243 W Center RD,EXCELLENT,1/2/2019,MEDIUM
Subway,10780 M ST,EXCELLENT,1/14/2019,MEDIUM
Subway,7444 Pacific,EXCELLENT,12/28/2018,MEDIUM
SWEET CAKES AND ROSES,14040 ARBOR ST,EXCELLENT,11/16/2018,HIGH
SZECHUAN EXPRESS INC,315 N 114 ST,EXCELLENT,1/14/2019,HIGH
TACO BELL #35271,3211 N 108 ST,EXCELLENT,11/15/2018,MEDIUM
TACO BELL #35276,12075 W CENTER RD,EXCELLENT,12/7/2018,MEDIUM
TACO BELL #35283,14606 W MAPLE RD,EXCELLENT,11/19/2018,MEDIUM
TANGIER TEMPLE,2823 S 84th St,EXCELLENT,1/15/2019,MEDIUM
Target,7200 Dodge St,EXCELLENT,12/14/2018,HIGH
TATTOO BOB'S BAR-B-Q (MOBILE),7768 CASS ST,EXCELLENT,12/14/2018,HIGH
TAVERN ON Q,18010 R PLZ,EXCELLENT,1/8/2019,LOW
TERIYAKI EXPRESS,9763 Q ST,EXCELLENT,12/12/2018,HIGH
TEXAS ROADHOUSE,520 N 155 PLZ,EXCELLENT,1/7/2019,HIGH
THAI PEPPER,631 N 114 ST,EXCELLENT,11/15/2018,HIGH
Therapy Bar & Grill,5059 S 108th ST,EXCELLENT,1/7/2019,HIGH
THUNDERHEAD BREWING TAPROOM,13304 W CENTER RD STE 126,EXCELLENT,11/14/2018,MEDIUM
Tobacco Hut #1,5826 Maple ST,EXCELLENT,11/28/2018,LOW
TRACKS LOUNGE,1506 S 60 ST,EXCELLENT,1/9/2019,HIGH
TWISTED CORK BISTRO,10730 PACIFIC ST,EXCELLENT,11/20/2018,HIGH
UPSTREAM BREWING COMPANY,514 S 11 ST,EXCELLENT,1/25/2019,HIGH
Valentino's Northwest,10190 Maple,EXCELLENT,11/19/2018,HIGH
VIA FARINA,1108 S 10 ST,EXCELLENT,1/9/2019,HIGH
VILLAGE AT PACIFIC SPRINGS THE,805 S 173 PLZ,EXCELLENT,12/14/2018,HIGH
VILLAGE INN #0046,10770 M ST,EXCELLENT,1/2/2019,HIGH
VILLAGE INN #0131,5425 L ST,EXCELLENT,12/11/2018,HIGH
Walgreens #05190,2323 L ST,EXCELLENT,11/19/2018,LOW
Walgreens #13137,13510 Q ST,EXCELLENT,1/23/2019,LOW
Walmart #3172,5051 L ST,EXCELLENT,11/14/2018,MEDIUM
Walmart #4358,1606 S 72nd ST,EXCELLENT,11/26/2018,MEDIUM
Wendy's,4161 S 84th,EXCELLENT,12/18/2018,MEDIUM
Whole Foods Market,10020 Regency Cir,EXCELLENT,1/24/2019,HIGH
5168 Tap Room,3201 Farnam St #6107,STANDARD,11/30/2018,HIGH
A HILL OF BEANS INC,14512 W CENTER RD,STANDARD,1/25/2019,LOW
Ace Sushi @ Fresh Thyme #903,14949 Evans Plz,STANDARD,11/21/2018,HIGH
AFOMA CORNER STORE,5522 S 30 ST,STANDARD,12/6/2018,MEDIUM
AFRICAN FOODS,223 S 25 ST,STANDARD,12/12/2018,MEDIUM
ALPINE INN,10405 CALHOUN ROAD,STANDARD,1/16/2019,HIGH
AMERICAN G I FORUM,2002 N St,STANDARD,12/28/2018,HIGH
American Legion Post-331 S Omaha,4830 S 21 ST,STANDARD,12/21/2018,HIGH
Anderson Amoco Food Shops,16727 Q ST,STANDARD,11/20/2018,MEDIUM
Ansel's Pastrami & Bagels,4007 Farnam St,STANDARD,12/17/2018,HIGH
ASIAN FAMILY MARKET,5916 AMES AVE,STANDARD,1/16/2019,HIGH
Baked After Dark,2740 N 61st St,STANDARD,12/21/2018,MEDIUM
BIG FRED LOUNGE AND PIZZA,1101 S 119 ST,STANDARD,12/3/2018,HIGH
BIG RED KENO BAR & GRILL,8100 Cass,STANDARD,12/12/2018,HIGH
BRAVO CUCINA ITALIANA,17151 DAVENPORT ST,STANDARD,1/16/2019,HIGH
BRICK OVEN PIZZERIA,3001 S 144 ST,STANDARD,1/18/2019,MEDIUM
BROOKSIDE CAFE,15668 W CENTER RD,STANDARD,11/14/2018,HIGH
Bucky's Express #40,107 S 40th ST,STANDARD,12/17/2018,MEDIUM
Burgerim, 225 N 12 ST  STE 130 ,STANDARD,12/7/2018,MEDIUM
Butterfish,3901 Farnam St,STANDARD,11/27/2018,HIGH
Cafe Le Fleur, 14242 Fort St  Ste 109 ,STANDARD,12/11/2018,HIGH
Cantina El Sol,2332 S 24th St,STANDARD,1/25/2019,LOW
Casey's General Store #2985,5120 S 118th ST,STANDARD,12/5/2018,MEDIUM
CHOP STICK HOUSE,5522 N 103 ST,STANDARD,1/10/2019,HIGH
COLD STONE CREAMERY,455 N 10 ST,STANDARD,1/9/2019,MEDIUM
CRANE COFFEE,5923 CENTER ST,STANDARD,1/8/2019,MEDIUM
DEJA VU LOUNGE,1021 S 178 ST,STANDARD,12/24/2018,MEDIUM
DICK'S VALLEY MARKET,111 E GARDINER ST-VALLEY,STANDARD,1/16/2019,HIGH
D'Leon's,11345 DAVENPORT ST,STANDARD,1/14/2019,HIGH
Dollar Tree #5577,5230 S 136 ST,STANDARD,1/3/2019,LOW
Dollar Tree Store #2308,3066 N 90th ST,STANDARD,1/2/2019,LOW
EDDIE'S CATERING,5009 S 24 ST,STANDARD,12/28/2018,HIGH
Family Dollar Store #9369,2601 N 16 ST,STANDARD,12/17/2018,LOW
FAMOUS DAVE'S BBQ,12020 ANNE ST,STANDARD,11/27/2018,HIGH
FANTASY FOOD & FUEL,16960 EVANS PLZ,STANDARD,12/27/2018,MEDIUM
Farm House Cafe & Delicatessen,3461 S 84 ST,STANDARD,11/28/2018,HIGH
FIRE BARN,2523 RIVER RD DR-WATERLOO,STANDARD,12/17/2018,HIGH
FOOD MART,8204 HARRISON ST - RALSTON,STANDARD,11/26/2018,MEDIUM
Godfathers Pizza,14139 Q ST,STANDARD,11/20/2018,MEDIUM
Golden Grocery Store,6341 N 24 ST,STANDARD,11/15/2018,MEDIUM
GRANITE CITY,1001 N 102nd ST,STANDARD,12/26/2018,HIGH
GREEN ONION,11414 DAVENPORT ST,STANDARD,1/14/2019,LOW
HAPPY HOLLOW CLUB,1701 S 105th,STANDARD,1/17/2019,HIGH
HAROLD'S BAR,8558 BLONDO ST,STANDARD,11/28/2018,LOW
HDR CafÃ©,1917 S 67St,STANDARD,11/29/2018,MEDIUM
HECTOR'S RESTAURANT,1201 S 157 ST,STANDARD,12/13/2018,HIGH
Holiday Inn/Vida,3650 S 72 ST,STANDARD,11/30/2018,HIGH
Hotel RL,3321 S 72nd St,STANDARD,12/7/2018,HIGH
HUNAN FUSION,2405 S 132 ST,STANDARD,1/10/2019,HIGH
Hy-Vee #6,9707 Q ST,STANDARD,1/15/2019,HIGH
IKA San, 1114 Jones St,STANDARD,1/10/2019,HIGH
International Bakery,5106 S 24 ST,STANDARD,11/30/2018,MEDIUM
Jazz A Louisiana Kitchen,1421 FARNAM ST,STANDARD,1/10/2019,HIGH
Jewell (The),1030 Capitol Ave,STANDARD,1/17/2019,MEDIUM
Jimmy John's,13939 S Plz,STANDARD,1/4/2019,MEDIUM
JOSEPHINE'S COZY CORNER INC,2201 PIERCE ST,STANDARD,1/11/2019,LOW
JOURNEY'S BAR & GRILL,2236 N 91 PLZ,STANDARD,1/3/2019,HIGH
KFC/Long John Silvers,7601 N 30th ST,STANDARD,1/8/2019,HIGH
Kwik Shop #665,15556 Blondo,STANDARD,11/15/2018,MEDIUM
La Casa Pizzaria,4432 Leavenworth,STANDARD,11/28/2018,HIGH
La Economica,5520 S 36th ST,STANDARD,11/19/2018,LOW
Laka Lono,1204 Howard ST,STANDARD,11/30/2018,MEDIUM
LIGHTHOUSE PIZZA,1004 S 74 PLZ,STANDARD,1/15/2019,HIGH
Little King,508 S 12th ST,STANDARD,11/13/2018,HIGH
Malara's Italian Restaurant,2123 Pierce,STANDARD,1/18/2019,HIGH
Mary's Tortilleria,3302 Q St,STANDARD,1/3/2019,HIGH
Mega Saver Mart,1910 N 144th ST,STANDARD,1/8/2019,HIGH
Midtown Gas & Grocery,2302 S 13th St,STANDARD,1/14/2019,MEDIUM
Mockingbird Lanes,4870 S 96th ST,STANDARD,12/18/2018,HIGH
Modern Love,3157 Farnam St,STANDARD,11/30/2018,HIGH
M's Pub,422 S 11th St,STANDARD,11/30/2018,HIGH
N K Family Asian Market,3040 Ames Ave,STANDARD,1/24/2019,MEDIUM
Nest Lounge,2638 S 158th Plz,STANDARD,11/16/2018,LOW
Nguyen's Cafeteria,4501 S 36th,STANDARD,12/27/2018,MEDIUM
Novedates Ventura,3173 Leavenworth St,STANDARD,1/16/2019,HIGH
Nuestra Familia Supermercado #733,2900 Leavenworth,STANDARD,12/17/2018,HIGH
Oklahoma Joe's BBQ,1912 S 67 St,STANDARD,11/15/2018,HIGH
Old Market Blue,416 S 12th ST,STANDARD,12/27/2018,HIGH
OMAHA TAP HOUSE,1403 FARNAM ST STE 136,STANDARD,12/10/2018,HIGH
Oven,1010 HOWARD ST,STANDARD,12/27/2018,HIGH
Paradise Bakery & Cafe,120 Regency Pkwy #156,STANDARD,12/21/2018,HIGH
PARKING LOT (THE),5820 S 99 ST,STANDARD,11/15/2018,LOW
PepperJax Grill,8406 Park DR,STANDARD,1/15/2019,HIGH
Persis Indian Grill, 2012 117th Ave,STANDARD,1/25/2019,HIGH
PIERO'S BAKERY,6619 SUNSHINE DR,STANDARD,11/13/2018,MEDIUM
PIPELINE TAVERN,1300 S 72 ST,STANDARD,1/2/2019,HIGH
POP'S PLACE,3520 F ST,STANDARD,12/20/2018,HIGH
Ray's Catering Company,8501 N 30 St,STANDARD,12/13/2018,HIGH
RHYTHMS LOUNGE & BISTRO,10841 Q ST,STANDARD,11/15/2018,HIGH
Rico Pan Bakery,4030 S 24th St,STANDARD,11/14/2018,MEDIUM
ROMAN COIN PIZZA,9735 Q ST,STANDARD,12/21/2018,HIGH
SAIGON SURFACE,324 S 14 ST,STANDARD,11/14/2018,HIGH
Scooter's,16804 Decatur St,STANDARD,1/11/2019,MEDIUM
Scooter's Coffeehouse,5233 S 96th ST,STANDARD,1/3/2019,MEDIUM
South Omaha Boys Club,5051 S 22nd,STANDARD,12/28/2018,HIGH
St Paul Lutheran,5020 Grand AVE,STANDARD,12/10/2018,MEDIUM
Still Poppin Gourment Popcorn,8501 N 30th,STANDARD,12/13/2018,LOW
SUSHI JAPAN/YAKINIKU BOY,14134 W CENTER RD,STANDARD,12/20/2018,HIGH
T & A GROCERIES,3247 N 42 ST,STANDARD,12/12/2018,MEDIUM
T Maries Homestyle Foods & Seafoods,2414 Patrick Ave,STANDARD,1/4/2019,HIGH
Taco Johns,350 N 168th Cir,STANDARD,12/14/2018,MEDIUM
Tacos Acapulco,4623 S 33rd St,STANDARD,12/19/2018,MEDIUM
Taqueria El Rey III,1837 Vinton St,STANDARD,12/5/2018,HIGH
TIMBER WOODFIRE BISTRO,8702 PACIFIC ST,STANDARD,12/27/2018,HIGH
TIRED TEXAN BBQ,4702 S 108 ST,STANDARD,12/4/2018,HIGH
TRANQUILITY ICE PLEX,12550 W MAPLE RD,STANDARD,1/14/2019,MEDIUM
Wamo Food Market,1604 NW Radial Hwy,STANDARD,12/7/2018,HIGH
WAYSIDE TAVERN,8503 MAPLE ST,STANDARD,1/10/2019,MEDIUM
WEST LANES BOWL,151 N 72 ST,STANDARD,1/9/2019,HIGH
WESTERN BOWL LLC,4725 S 131 ST,STANDARD,11/26/2018,HIGH
Wheatfield's Eatery-Bakery,1224 S 103 ST,STANDARD,11/13/2018,HIGH
Winchester Bar & Grill,7002 Q St,STANDARD,1/8/2019,HIGH
WINNERS LOUNGE,5413 S 72 ST,STANDARD,11/15/2018,LOW
Astoria Indian Restaurant,5010 S 108th ST,FAIR,12/27/2018,HIGH
BUSHWACKERS - RALSTON,7401 MAIN ST,FAIR,11/30/2018,HIGH
Casey's General Store #2987,15275 Weir Plaza,FAIR,11/13/2018,MEDIUM
CHINA TASTE,1702 CUMING ST,FAIR,12/10/2018,HIGH
